,reward,bias,sampling,participant,choice_herf,reward_var
286,different,yes,select,287,0.45625000000000016,26.461056290329758
287,different,yes,select,288,0.04875000000000007,35.59757716474535
288,different,yes,meet,289,0.75,23.382685902179844
289,different,yes,meet,290,0.75,26.22022120425379
290,different,yes,select,291,0.6437499999999999,25.586861863073402
291,different,yes,select,292,0.13874999999999993,28.892040426387332
292,different,yes,meet,293,0.75,28.925550988702014
293,different,yes,meet,294,0.75,26.348624252510795
294,different,yes,select,295,0.04875000000000007,29.359836511806396
295,different,yes,select,296,0.0,37.605684410737695
296,different,yes,meet,297,0.75,14.306903927824496
297,different,yes,select,298,0.5275000000000001,33.44772040064913
298,different,yes,meet,299,0.75,32.80529682840867
299,different,no,meet,300,0.75,11.874342087037917
300,different,no,select,301,0.7212500000000001,0.0
301,different,no,select,302,0.4650000000000002,26.901440481877547
302,different,no,meet,303,0.75,4.716990566028302
303,different,no,meet,304,0.75,32.041964671349355
304,different,no,select,305,0.65875,28.047950014216724
305,different,no,select,306,0.39625,19.20286436967152
306,different,no,meet,307,0.75,5.584576975922169
307,different,no,select,308,0.14249999999999996,36.952672433803755
308,different,no,select,309,0.66875,21.650635094610966
309,different,no,select,310,0.71875,21.867498713844707
310,different,no,select,311,0.7424999999999999,12.93010054098575
311,different,no,meet,312,0.75,25.495097567963924
312,different,no,meet,313,0.75,26.070817018267764
313,different,no,select,314,0.2662500000000001,27.698149757700424
314,different,no,meet,315,0.75,28.679260799399973
315,different,no,select,316,0.2662500000000001,31.941352507368876
316,different,no,meet,317,0.75,0.0
317,different,no,meet,318,0.75,28.05686190577984
318,different,no,select,319,0.36749999999999994,25.68438241422207
319,different,no,select,320,0.74875,23.1880896151451
320,different,no,select,321,0.18625000000000003,33.44772040064913
321,different,no,select,322,0.22750000000000004,27.54087870784082
322,different,no,select,323,0.3287499999999999,31.657345119261027
323,different,no,select,324,0.5362499999999999,22.94558781116753
324,different,no,select,325,0.18625000000000003,26.48112535373072
325,different,no,select,326,0.53375,23.90606617576384
326,different,no,select,327,0.6625,23.070543990118654
327,different,no,meet,328,0.75,35.152347005569915
328,different,no,meet,329,0.75,31.546592525976557
329,different,no,select,330,0.27000000000000024,32.66783586342995
330,different,no,meet,331,0.75,31.77262973063451
331,different,no,select,332,0.22750000000000004,26.78035660703569
332,different,no,meet,333,0.75,23.166516786085904
333,different,no,select,334,0.55375,23.18404623873926
334,different,no,meet,335,0.75,36.2284418654736
335,different,no,select,336,0.27000000000000024,39.83716857408418
336,different,no,meet,337,0.75,4.14578098794425
337,different,no,select,338,0.6174999999999999,21.615966321217286
338,different,no,select,339,0.14125,28.679260799399973
339,different,no,select,340,0.6425,9.72111104761179
340,different,no,select,341,0.47125000000000006,28.578838324886476
341,different,no,select,342,0.27000000000000024,34.64101615137755
342,different,no,select,343,0.3025000000000001,27.825348155953055
343,different,no,meet,344,0.75,3.031088913245535
344,different,no,select,345,0.4475,28.922309727959142
345,different,no,meet,346,0.75,9.354143466934854
346,different,no,select,347,0.6487499999999999,20.07952937695503
347,different,no,meet,348,0.75,36.40054944640259
348,different,no,meet,349,0.75,28.111385593741193
349,different,no,select,350,0.37375,37.66629793329841
350,different,no,select,351,0.64125,37.66629793329841
351,different,no,select,352,0.41000000000000014,13.534677683639163
352,different,no,select,353,0.41375000000000006,33.44772040064913
353,different,no,meet,354,0.75,25.02373872945448
354,different,no,meet,355,0.75,12.439855304624729
355,different,no,select,356,0.6287499999999999,10.307764064044152
356,different,no,meet,357,0.75,24.92990172463582
357,different,no,select,358,0.7262500000000001,17.11724276862369
358,different,no,select,359,0.745,17.783419243778738
359,different,no,select,360,0.26875000000000016,41.13620667976084
360,different,no,select,361,0.22750000000000004,36.854443422740765
361,different,no,select,362,0.0,25.518375732009275
362,different,no,select,363,0.04875000000000007,21.6043977004683
363,different,no,meet,364,0.75,24.67159297653883
364,different,no,meet,365,0.75,34.888214342382156
365,different,no,meet,366,0.75,25.33155147242269
366,different,no,meet,367,0.75,30.898017735770686
367,different,no,select,368,0.22750000000000004,32.85859857023729
368,different,no,select,369,0.18625000000000003,18.405162319305962
369,different,no,meet,370,0.75,38.10101704679286
370,different,no,meet,371,0.75,24.748737341529164
371,different,no,select,372,0.48625000000000007,15.006248698458919
372,different,no,select,373,0.73375,16.209565077447326
373,different,no,meet,374,0.75,12.884098726725126
374,different,no,meet,375,0.75,21.775846711436962
375,different,no,select,376,0.41625,38.97114317029974
376,different,no,meet,377,0.75,1.920286436967152
377,different,no,select,378,0.47875,25.51960031034969
378,different,no,meet,379,0.75,30.31088913245535
379,different,no,select,380,0.0,24.0351305384431
380,different,no,meet,381,0.75,34.910600109422354
381,different,no,select,382,0.58125,19.40843888621648
382,different,no,select,383,0.6487499999999999,33.44772040064913
383,different,no,select,384,0.18625000000000003,32.20636583037583
384,different,no,meet,385,0.75,28.586491565073178
385,different,no,meet,386,0.75,24.762623043611516
386,different,no,meet,387,0.75,30.99193443462347
387,different,no,select,388,0.735,0.0
388,different,no,select,389,0.67875,18.708286933869708
389,different,no,meet,390,0.75,19.04599695474091
390,different,no,meet,391,0.75,23.29162939770423
391,different,no,select,392,0.41125,27.471576219794887
392,different,no,meet,393,0.75,30.285103598964294
393,different,no,select,394,0.60625,22.34949663862701
394,different,no,meet,395,0.75,30.17863482664516
395,different,no,meet,396,0.75,25.713566458194787
396,different,no,select,397,0.5275000000000001,31.77262973063451
397,different,no,select,398,0.26875000000000016,35.9887135085432
398,different,no,meet,399,0.75,28.613807855648993
