,condition,participant,choice_herf,reward_var
183,self_select,184,0.7437499999999999,17.210098779495716
184,self_select,185,0.48624999999999996,34.751798514609284
185,self_select,186,0.0,38.90613704802881
186,self_select,187,0.7437499999999999,0.0
187,self_select,188,0.74125,22.9237867726953
188,self_select,189,0.74875,0.0
189,self_select,190,0.04875000000000007,31.917863337009262
190,self_select,191,0.0,38.97114317029974
191,self_select,192,0.73375,8.2915619758885
192,self_select,193,0.74625,15.0
193,self_select,194,0.74875,19.60070151805797
194,self_select,195,0.655,9.233092656309694
195,self_select,196,0.4949999999999999,14.5
196,self_select,197,0.74125,7.905694150420948
197,self_select,198,0.6962499999999999,32.751908341347075
198,self_select,199,0.75,0.82915619758885
199,self_select,200,0.6287499999999999,20.615528128088304
200,self_select,201,0.7212500000000001,8.898735865278843
201,self_select,202,0.37875000000000003,24.40671014290947
202,self_select,203,0.7075,8.2915619758885
203,self_select,204,0.745,5.787918451395113
204,self_select,205,0.5362499999999999,31.50396800404673
205,self_select,206,0.7262500000000001,5.244044240850758
206,self_select,207,0.38125,3.897114317029974
207,self_select,208,0.57375,10.825317547305483
208,self_select,209,0.74875,0.0
209,self_select,210,0.71875,3.897114317029974
210,self_select,211,0.73375,0.0
211,self_select,212,0.70625,4.9180788932265
212,self_select,213,0.04875000000000007,16.792855623746664
213,self_select,214,0.745,10.606601717798213
214,self_select,215,0.6812499999999999,0.0
215,self_select,216,0.705,0.7071067811865476
216,self_select,217,0.0,20.801141795584204
217,self_select,218,0.65625,19.524023663169434
218,self_select,219,0.7474999999999999,5.0
219,self_select,220,0.22750000000000004,38.589992225964494
220,self_select,221,0.7149999999999999,9.934158243152764
221,self_select,222,0.74875,1.7320508075688772
222,self_select,223,0.74875,17.711225254058512
223,self_select,224,0.5037499999999999,16.635804759614125
224,self_select,225,0.6612499999999999,6.2048368229954285
225,self_select,226,0.69875,0.0
226,self_select,227,0.745,0.0
227,self_select,228,0.6175,39.79557136164777
228,self_select,229,0.6962499999999999,8.2915619758885
229,self_select,230,0.59625,26.070817018267764
230,self_select,231,0.74875,16.170961628796228
